"user_id","Genre","is_teaching","is_preservice","is_formateur","is_directeur","is_inspecteur","is_other_role","is_researcher","teaching_level","trainer_support_level"
87,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"primaire",""
85,"F",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"","primaire"
88,"M",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"supérieur","supérieur"
3,"M",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,"","primaire"
12,"F",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"","secondaire"
46,"F",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"secondaire","secondaire"
24,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"","supérieur"
45,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"primaire",""
84,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"primaire",""
80,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"primaire",""
66,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"primaire",""
93,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"primaire",""
10,"F",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"","supérieur"
21,"F",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"primaire",""
